clause_id,variant_book,similarity,base_text,variant_text,notable_differences
SHL_SONGBEN_0040,傷寒雜病論_桂本,0.947,傷寒表不解，心下有水氣，乾嘔，發熱而欬，或渴，或利，或噎，或小便不利，少腹滿，或喘者，小青龍湯主之。,"7.9
傷寒，表不解，心下有水氣，乾嘔，發熱而咳，或渴、或利、或噎、或小便不利，少腹滿，或喘者，小青龍湯主之。","宋本獨有用字：欬；傷寒雜病論_桂本獨有用字：
.79、咳"
SHL_SONGBEN_0041,傷寒雜病論_桂本,0.892,傷寒心下有水氣，欬而微喘，發熱不渴。服湯已，渴者，此寒去欲解也。小青龍湯主之。,"7.10
傷寒，心下有水氣，咳而微喘，發熱不渴，服湯已渴者，此寒去欲解也，小青龍湯主之。（方見上）","宋本獨有用字：欬；傷寒雜病論_桂本獨有用字：
.017上咳方見（）"
SHL_SONGBEN_0042,傷寒雜病論_桂本,0.923,太陽病，外證未解，脈浮弱者，當以汗解，宜桂枝湯。,"7.11
太陽病，外證未解，脈浮弱者，當以汗解，宜桂枝湯。（見上卷）","傷寒雜病論_桂本獨有用字：
.17上卷見（）"
SHL_SONGBEN_0044,傷寒雜病論_桂本,0.917,太陽病，外證未解，不可下也，下之為逆。欲解外者，宜桂枝湯。,"7.13
太陽病，外證未解，不可下也，下之為逆；欲解外者，宜桂枝湯。（方見上卷）","傷寒雜病論_桂本獨有用字：
.137上卷方見（）；"
SHL_SONGBEN_0045,傷寒雜病論_桂本,0.918,太陽病，先發汗不解，而復下之，脈浮者不愈。浮為在外，而反下之，故令不愈。今脈浮，故在外，當須解外則愈，宜桂枝湯。,"7.14
太陽病，先發汗不解，而復下之，脈浮者，不愈。浮為在外，而反下之，故令不愈。今脈浮，故知在外，當須解外則愈，宜桂枝湯。（方見上卷）","傷寒雜病論_桂本獨有用字：
.147上卷方知見（）"
SHL_SONGBEN_0046,傷寒雜病論_桂本,0.932,太陽病，脈浮緊，無汗，發熱，身疼痛，八九日不解，表證仍在，此當發其汗。服藥已微除，其人發煩目瞑，劇者必衄，衄乃解。所以然者，陽氣重故也，麻黃湯主之。,"7.15
太陽病，脈竜，無汗，發熱，身疼痛，八九日不解，表證仍在，此當發其汗；服藥已，微除，其人發煩，目瞑，劇者必衄，衄乃解。所以然者，陽氣重故也。麻黃湯主之。","宋本獨有用字：浮緊；傷寒雜病論_桂本獨有用字：
.157上方竜見（）；"
SHL_SONGBEN_0047,傷寒雜病論_桂本,0.815,太陽病，脈浮緊，發熱，身無汗，自衄者愈。,"7.16
太陽病，脈竜，發熱、身無汗、自衄者愈。","宋本獨有用字：浮緊；傷寒雜病論_桂本獨有用字：
.167、竜"
SHL_SONGBEN_0048,傷寒雜病論_桂本,0.881,二陽併病，太陽初得病時，發其汗，汗先出不徹，因轉屬陽明，續自微汗出，不惡寒。若太陽病證不罷者，不可下，下之為逆，如此可小發汗。設面色緣緣正赤者，陽氣怫鬱在表，當,"7.17
二陽併病，太陽初得病時，發其汗，汗先出不徹，因轉屬陽明，續自微汗出，不惡寒。若太陽病證不罷者，不可下，下之為逆，如此可小發其汗。設面色緣緣正赤者，陽氣","宋本獨有用字：熏；傷寒雜病論_桂本獨有用字：
.17薰；"
SHL_SONGBEN_0049,傷寒雜病論_桂本,0.71,脈浮數者，法當汗出而愈。若下之，身重心悸者，不可發汗，當自汗出乃解。所以然者，尺中脈微，此裏虛。須表裏實，津液自和，便自汗出愈。,"7.18
脈竜者，法當汗出而解。若身重心悸者，不可發汗，須自汗出乃愈。所以然者，尺中脈微，此裏虛也。須裏實，津液自和，便自汗出愈。","宋本獨有用字：下之數浮表；傷寒雜病論_桂本獨有用字：
.178也竜"
SHL_SONGBEN_0050,傷寒雜病論_桂本,0.732,脈浮緊者，法當身疼痛，宜以汗解之，假令尺中遲者，不可發汗，何以知然？以榮氣不足，血少故也。,"7.19
脈竜者，法當身疼痛，宜以汗解之。假令尺中遲者，不可發汗。所以然者，以榮氣不足，血弱故也。","宋本獨有用字：何少浮知緊？；傷寒雜病論_桂本獨有用字：
.179弱所竜"
SHL_SONGBEN_0051,傷寒雜病論_桂本,0.889,脈浮者，病在表，可發汗，宜麻黃湯。,"7.20
脈浮者，病在表，可發汗，宜麻黃湯。（方見上）","傷寒雜病論_桂本獨有用字：
.027上方見（）"
SHL_SONGBEN_0052,傷寒雜病論_桂本,0.72,脈浮而數者，可發汗，宜麻黃湯。,"7.21
脈浮而緊者，可發汗，宜麻黃湯。（方見上）","宋本獨有用字：數；傷寒雜病論_桂本獨有用字：
.127上方緊見（）"
SHL_SONGBEN_0053,傷寒雜病論_桂本,0.66,病常自汗出者，此為榮氣和，榮氣和者，外不諧，以衛氣不共榮氣諧和故爾。以榮行脈中，衛行脈外，復發其汗，榮衛和則愈，宜桂枝湯。,"7.22
病人常自汗出者，此為榮氣和，衛氣不諧也。所以然者，榮行脈中，衛行脈外，衛氣不共榮氣諧和故也。復發其汗則愈，宜桂枝湯。（方見上卷）","宋本獨有用字：爾；傷寒雜病論_桂本獨有用字：
.27上也人卷所方然見（）"
SHL_SONGBEN_0054,傷寒雜病論_桂本,0.879,病人藏無他病，時發熱、自汗出而不愈者，此衛氣不和也。先其時發汗則愈，宜桂枝湯。,"7.23
病人臟無他病，時發熱，自汗出，而不愈者，此衛氣不和也。先其時發汗則愈，宜桂枝湯（方見上卷）","宋本獨有用字：、藏；傷寒雜病論_桂本獨有用字：
.237上卷方臟見（）"
SHL_SONGBEN_0055,傷寒雜病論_桂本,0.765,傷寒脈浮緊，不發汗，因致衄者，麻黃湯主之。,"7.24
傷寒，脈竜，不發汗，因致衄者，麻黃湯主之。（方見上）","宋本獨有用字：浮緊；傷寒雜病論_桂本獨有用字：
.247上方竜見（）"
SHL_SONGBEN_0056,傷寒雜病論_桂本,0.867,傷寒不大便六七日，頭痛有熱者，與承氣湯；其小便清者，知不在裏，仍在表也，當須發汗，若頭痛者，必衄，宜桂枝湯。,"7.25
傷寒，不大便六七日，頭痛有熱者，與承氣湯；其小便清者，知不在裏，仍在表也，當須發汗，宜桂枝湯。（方見上卷）","宋本獨有用字：必若衄；傷寒雜病論_桂本獨有用字：
.257上卷方見（）"
SHL_SONGBEN_0057,傷寒雜病論_桂本,0.8,傷寒發汗已解，半日許復煩，脈浮數者，可更發汗，宜桂枝湯。,"7.26
傷寒，發汗已解，半日許復煩，脈竜者，可更發汗，宜桂枝湯。（方見上卷）","宋本獨有用字：數浮；傷寒雜病論_桂本獨有用字：
.267上卷方竜見（）"
SHL_SONGBEN_0059,傷寒雜病論_桂本,0.64,大下之後，復發汗，小便不利者，亡津液故也。勿治之，得小便利，必自愈。,"7.28
大汗之後，復下之，小便不利者，亡津液故也，勿治之，久久小便必自利。","宋本獨有用字：得愈發；傷寒雜病論_桂本獨有用字：
.278久"
SHL_SONGBEN_0060,傷寒雜病論_桂本,0.826,下之後，復發汗，必振寒，脈微細。所以然者，以內外俱虛故也。,"7.29
大下之後，復發汗，其人必振寒，脈微細。所以然者，內外俱虛故也。","傷寒雜病論_桂本獨有用字：
.279人其大"
SHL_SONGBEN_0061,傷寒雜病論_桂本,0.961,下之後，復發汗，晝日煩躁不得眠，夜而安靜，不嘔不渴，無表證，脈沉微，身無大熱者，乾薑附子湯主之。,"7.30
下之後，復發汗，晝日煩躁不得眠，夜而安靜，不嘔不渴，無表證，脈沉而微，身無大熱者，乾薑附子湯主之。","傷寒雜病論_桂本獨有用字：
.037"
SHL_SONGBEN_0062,傷寒雜病論_桂本,0.64,發汗後，身疼痛，脈沉遲者，桂枝加芍藥生薑各一兩，人參三兩新加湯主之。,"7.31
發汗後，身疼痛，脈沉遲者，桂枝去芍藥加人參生薑湯主之。","宋本獨有用字：一三兩各新；傷寒雜病論_桂本獨有用字：
.137去"
SHL_SONGBEN_0063,傷寒雜病論_桂本,0.931,發汗後，不可更行桂枝湯，汗出而喘，無大熱者，可與麻黃杏仁甘草石膏湯。,"7.32
發汗若下後，不可更行桂枝湯。汗出而喘，無大熱者，可與麻黃杏仁甘草石膏湯。","傷寒雜病論_桂本獨有用字：
.237下若"
SHL_SONGBEN_0065,傷寒雜病論_桂本,0.936,發汗後，其人臍下悸者，欲作奔豚，茯苓桂枝甘草大棗湯主之。,"7.34
發汗後，其人臍下悸者，欲作奔豚也，茯苓桂枝甘草大棗湯主之。","傷寒雜病論_桂本獨有用字：
.347也"
SHL_SONGBEN_0070,傷寒雜病論_桂本,0.926,發汗後惡寒者，虛故也。不惡寒但熱者，實也。當和胃氣，與調胃承氣湯。,"7.41
發汗後，惡寒者，虛故也；不惡寒，但熱者，實也，當和胃氣，與調胃承氣湯。（方見上卷）","傷寒雜病論_桂本獨有用字：
.147上卷方見（）；"
SHL_SONGBEN_0071,傷寒雜病論_桂本,0.938,太陽病，發汗後，大汗出，胃中乾，煩躁不得眠，欲得飲水者，少少與飲之，令胃氣和則愈。若脈浮，小便不利，微熱消渴者，五苓散主之。,"7.42
太陽病，發汗後，大汗出，胃中乾，煩躁不得眠，欲得飲水，少少與之，令胃氣和則愈。若脈浮，小便不利，微熱，消渴者，五苓散主之。","傷寒雜病論_桂本獨有用字：
.247"
SHL_SONGBEN_0072,傷寒雜病論_桂本,0.688,發汗已，脈浮數，煩渴者，五苓散主之。,"7.43
太陽病，發汗已，脈浮弦，煩渴者，五苓散主之。（方見前）","宋本獨有用字：數；傷寒雜病論_桂本獨有用字：
.347前太弦方病見陽（）"
SHL_SONGBEN_0073,傷寒雜病論_桂本,0.884,傷寒汗出而渴者，五苓散主之；不渴者，茯苓甘草湯主之。,"7.44
傷寒，汗出而渴，小便不利者，五苓散主之；不渴者，茯苓甘草湯主之。","傷寒雜病論_桂本獨有用字：
.47便利小"
SHL_SONGBEN_0074,傷寒雜病論_桂本,0.955,中風發熱，六七日不解而煩，有表裏證，渴欲飲水，水入則吐者，名曰水逆，五苓散主之。,"7.45
中風發熱，六七日不解而煩，有表裏證，渴欲飲水，水入則吐者，名曰水逆。五苓散主之。（方見上）","傷寒雜病論_桂本獨有用字：
.457上方見（）"
SHL_SONGBEN_0076,傷寒雜病論_桂本,0.74,發汗後，水藥不得入口，爲逆；若更發汗，必吐下不止。發汗吐下後，虛煩不得眠，若劇者，必反復顛倒，心中懊憹，梔子豉湯主之。若少氣者，梔子甘草豉湯主之；若嘔者，梔子生,"7.49
發汗後及吐下後，虛煩不得眠，若劇者，必反覆顛倒，心中懊憹。梔子乾薑湯主之。若少氣者，梔子甘草豉湯主之。若嘔者，梔子生薑豉湯主之。","宋本獨有用字：入口復更止水爲藥逆；；傷寒雜病論_桂本獨有用字：
.479乾及覆"
SHL_SONGBEN_0078,傷寒雜病論_桂本,0.947,傷寒五六日，大下之後，身熱不去，心中結痛者，未欲解也，梔子豉湯主之。,"7.51
傷寒五六日，大下之後，身熱不去、心中結痛者，未欲解也，梔子豉湯主之。（方見上）","傷寒雜病論_桂本獨有用字：
.157、上方見（）"
SHL_SONGBEN_0079,傷寒雜病論_桂本,0.9,傷寒下後，心煩腹滿，臥起不安者，梔子厚朴湯主之。,"7.52
傷寒下後，心煩腹滿，臥起不安者，梔子厚朴枳實湯主之。","傷寒雜病論_桂本獨有用字：
.257實枳"
SHL_SONGBEN_0080,傷寒雜病論_桂本,0.936,傷寒，醫以丸藥大下之，身熱不去，微煩者，梔子乾薑湯主之。,"7.53
傷寒，醫以丸藥大下之，身熱不去，微煩者，梔子乾薑湯主之。（方見上）","傷寒雜病論_桂本獨有用字：
.357上方見（）"
SHL_SONGBEN_0081,傷寒雜病論_桂本,0.688,凡用梔子湯，病人舊微溏者，不可與服之。,"7.54
凡用梔子湯，若病人大便舊微溏者，不可與之。","宋本獨有用字：服；傷寒雜病論_桂本獨有用字：
.457便大若"
SHL_SONGBEN_0086,傷寒雜病論_桂本,0.909,衄家，不可發汗，汗出必額上陷，脈急緊，直視不能眴，不得眠。,"7.59
衄家不可發汗，汗出必額上陷，脈當緊，直視不能眴，不得眠。","宋本獨有用字：急；傷寒雜病論_桂本獨有用字：
.579當"
SHL_SONGBEN_0088,傷寒雜病論_桂本,0.895,汗家，重發汗，必恍惚心亂，小便已陰疼，與禹餘糧丸。,"7.61
汗家重發汗，必恍惚心亂，小便已陰痛，與禹餘糧丸。","宋本獨有用字：疼；傷寒雜病論_桂本獨有用字：
.167痛"
SHL_SONGBEN_0089,傷寒雜病論_桂本,0.917,病人有寒，復發汗，胃中冷，必吐蚘。,"7.62
病人有寒，復發汗，胃中冷，必吐逆。","宋本獨有用字：蚘；傷寒雜病論_桂本獨有用字：
.267逆"
SHL_SONGBEN_0090,傷寒雜病論_桂本,0.926,本發汗，而復下之，此為逆也；若先發汗，治不為逆。本先下之，而反汗之，為逆；若先下之，治不為逆。,"7.63
傷寒，未發汗，而復下之，此為逆也；若先發汗，治不為逆。本先下之，而反汗之，為逆；若先下之，治不為逆。","傷寒雜病論_桂本獨有用字：
.367傷寒未"
SHL_SONGBEN_0091,傷寒雜病論_桂本,0.95,傷寒，醫下之，續得下利清穀不止，身疼痛者，急當救裏；後身疼痛，清便自調者，急當救表。救裏宜四逆湯，救表宜桂枝湯。,"7.64
傷寒，醫下之，續得下利，清穀不止，身疼痛者，急當救裏；後身疼痛，清便自調者，急當救表。救裏宜四逆湯，救表宜桂枝湯。（方見上卷）","傷寒雜病論_桂本獨有用字：
.467上卷方見（）"
