clause_id,variant_book,similarity,base_text,variant_text,notable_differences
SHL_SONGBEN_0108,傷寒雜病論_桂本,0.776,傷寒，腹滿，譫語，寸口脈浮而緊，此肝乘脾也，名曰縱。刺期門。,"7.80
傷寒腹滿，讝語，寸口脈浮而緊，關上脈弦者，此肝乘脾也，名曰縱，刺期門。","宋本獨有用字：譫；傷寒雜病論_桂本獨有用字：
.078上弦者讝關"
SHL_SONGBEN_0109,傷寒雜病論_桂本,0.756,傷寒發熱，嗇嗇惡寒，大渴欲飲水，其腹必滿，自汗出，小便利，其病欲解，此肝乘肺也，名曰橫。刺期門。,"7.81
傷寒發熱，嗇嗇惡寒，大渴欲飲水，其腹必滿；自汗出，小便不利，寸口脈浮而濇，關上弦急者，此肝乘肺也，名曰橫，刺期門。","宋本獨有用字：病解；傷寒雜病論_桂本獨有用字：
.178上不口寸弦急浮濇者而脈關；"
SHL_SONGBEN_0110,傷寒雜病論_桂本,0.876,太陽病二日，反躁，凡熨其背而大汗出，大熱入胃，胃中水竭，躁煩，必發譫語。十餘日，振慄，自下利者，此為欲解也。故其汗從腰以下不得汗，欲小便不得，反嘔，欲失溲，足下,"7.82
太陽病二日，煩躁，反熨其背而大汗出，火熱入胃，胃中水竭，躁煩，必發讝語。十餘日，振慄、自下利者，此為欲解也。若其汗從腰以下不得汗，欲小便不得，反嘔，欲","宋本獨有用字：凡及譫；傷寒雜病論_桂本獨有用字：
.278、又火若讝"
SHL_SONGBEN_0111,傷寒雜病論_桂本,0.911,太陽病中風，以火劫發汗，邪風被火熱，血氣流溢，失其常度。兩陽相熏灼，其身發黃。陽盛則欲衄，陰虛小便難。陰陽俱虛竭，身體則枯燥，但頭汗出，劑頸而還，腹滿，微喘，口,"7.83
太陽病中風，以火劫發汗，邪風被火熱，血氣流溢，失其常度，兩陽相熏灼，其身發黃。陽盛則欲衄，陰虛小便難，陰陽俱虛竭，身體則枯燥，但頭汗出，劑頸而還，腹滿","宋本獨有用字：譫；傷寒雜病論_桂本獨有用字：
.378主之參地宜湯牡苓茯蠣讝骨龍"
SHL_SONGBEN_0112,傷寒雜病論_桂本,0.943,傷寒，脈浮，醫以火迫劫之，亡陽，必驚狂，臥起不安者，桂枝去芍藥加蜀漆牡蠣龍骨救逆湯主之。,"7.84
傷寒脈浮，醫以火迫劫之，亡陽，必驚狂。臥起不安者，桂枝去芍藥加牡蠣龍骨救逆湯主之。","宋本獨有用字：漆蜀；傷寒雜病論_桂本獨有用字：
.478"
SHL_SONGBEN_0113,傷寒雜病論_桂本,0.774,形作傷寒，其脈不弦緊而弱，弱者必渴，被火必譫語，弱者發熱脈浮，解之當汗出愈。,"7.85
形似傷寒，其脈不弦緊而弱。弱者必渴，被火必讝語。弱而發熱脈浮者，解之，當汗出愈。","宋本獨有用字：作譫；傷寒雜病論_桂本獨有用字：
.578似讝"
SHL_SONGBEN_0114,傷寒雜病論_桂本,0.917,太陽病，以火熏之，不得汗，其人必躁。到經不解，必清血，名爲火邪。,"7.86
太陽病，以火熏之，不得汗，其人必躁，到經不解，必清血，名為火邪。","宋本獨有用字：爲；傷寒雜病論_桂本獨有用字：
.678為"
SHL_SONGBEN_0115,傷寒雜病論_桂本,0.766,脈浮，熱甚，而反灸之，此為實，實以虛治，因火而動，必咽燥，吐血。,"7.87
脈浮、熱甚，反以火灸之，此為實。實以虛治，因火而動，必咽燥、唾血。","宋本獨有用字：吐；傷寒雜病論_桂本獨有用字：
.78、唾"
SHL_SONGBEN_0116,傷寒雜病論_桂本,0.699,微數之脈，慎不可灸。因火為邪，則為煩逆，追虛逐實，血散脈中，火氣雖微，內攻有力，焦骨傷筋，血難復也。脈浮，宜以汗解。用火灸之，邪無從出，因火而盛，病從腰以下必重,"7.89
脈浮，宜以汗解，用火灸之，邪無從出，因火而盛，病從腰以下必重而痹，名火逆也。欲自解者，必當先煩，煩乃有汗而解，何以知之？脈浮故也。","宋本獨有用字：不中傷內則力可實復微慎攻散數氣為焦筋虛血追逐雖難骨；傷寒雜病論_桂本獨有用字：
.789"
SHL_SONGBEN_0117,傷寒雜病論_桂本,0.938,燒針令其汗，針處被寒，核起而赤者，必發奔豚。氣從少腹上衝心者，灸其核上各一壯，與桂枝加桂湯，更加桂二兩也。,"7.90
燒針令其汗，針處被寒，核起而赤者，必發奔豚。氣從少腹上衝心者，灸其核上各一壯，與桂枝加桂湯。","宋本獨有用字：也二兩更；傷寒雜病論_桂本獨有用字：
.079"
